Topic,Words,Frequency,Timestamp,time,date,year
5,"dones, sexualitat, decaleg, formacio, feminista",14,2018-12-22 12:46:08.444444444,2018-12-22T12:46:08Z,2018-12-22,2018
6,"musica, teatre, culturals, gargallo, vallmitjana",27,2018-12-22 12:46:08.444444444,2018-12-22T12:46:08Z,2018-12-22,2018
9,"400, moure, metres, fonts, prop",1,2018-12-22 12:46:08.444444444,2018-12-22T12:46:08Z,2018-12-22,2018
10,"mejorar, barrio, gente, inutilizado, caminos",1,2018-12-22 12:46:08.444444444,2018-12-22T12:46:08Z,2018-12-22,2018
12,"idiomatics, notes, escrita, informacions, informatives",1,2018-12-22 12:46:08.444444444,2018-12-22T12:46:08Z,2018-12-22,2018
14,"forestier, montjuic, arbre, preservar, ajudan",3,2018-12-22 12:46:08.444444444,2018-12-22T12:46:08Z,2018-12-22,2018
18,"limpiar, pilas, belleza, ensucie, eclipsada",1,2018-12-22 12:46:08.444444444,2018-12-22T12:46:08Z,2018-12-22,2018
0,"participacio, comerc, entitats, districte, ciutadania",430,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
1,"joves, escoles, escola, educacio, infants",415,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
2,"projecte, esport, espai, joc, barri",858,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
3,"salut, persones, atencio, mental, gent",180,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
4,"bici, carril, bicicletes, carrils, bicicleta",164,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
5,"dones, sexual, genere, diversitat, violencies",232,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
6,"cultural, cultura, musica, culturals, teatre",235,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
7,"crector, triador, barcelona, fundacio, catalunya",18,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
8,"habitatge, lloguer, pisos, habitatges, persones",251,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
9,"bus, busos, autobusos, transport, parades",113,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
10,"gossos, animals, gos, perros, zona",161,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
11,"nocturn, policia, seguretat, guardia, oci",71,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
12,"intercultural, participativa, generada, sessio, migrades",57,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
13,"projecte, descripcio, carrer, ampliada, implicar",496,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
14,"jardins, parc, parcs, horts, arbres",126,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
15,"turisme, turistica, turistics, turistes, turistic",45,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
16,"escola, institut, antaviana, curs, definitiu",14,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
17,"energetica, energia, energetic, eficiencia, energetiques",74,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
18,"contenidors, reciclatge, residus, recollida, escombraries",106,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
19,"carrer, aparcament, vehicles, cotxes, vianants",59,2019-09-10 13:09:34.888888888,2019-09-10T13:09:34Z,2019-09-10,2019
0,"comerc, barri, entitats, suport, projectes",172,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
1,"joves, educatius, formacio, activitats, educacio",297,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
2,"esport, espais, esportiva, esports, esportius",223,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
3,"persones, salut, atencio, soledat, gent",105,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
4,"bici, bicicletes, carril, carrils, motos",36,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
5,"dones, sexual, genere, salut, lgtbi",84,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
6,"culturals, dijous, podreu, teatre, cultural",82,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
7,"longo, florencia, marca, barcelona, uruguay",8,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
8,"habitatge, habitatges, pisos, lloguer, preus",68,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
9,"frequencia, transport, autobusos, bus, mes",32,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
10,"gossos, animals, pipican, hiroshima, utilitzi",43,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
11,"policial, policia, seguretat, delinquencia, veins",68,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
12,"generada, participativa, sessio, proposta, intercultural",288,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
13,"edificis, afectacions, finques, eternes, textualment",2,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
14,"parcs, horts, jardins, arbres, parc",37,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
15,"turistics, pisos, excessius, turisme, preus",9,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
16,"rebuig, institut, sacs, paper, escola",3,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
17,"energetica, rehabilitacio, energia, edificis, energetic",14,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
18,"contenidors, neteja, residus, reciclatge, escombraries",46,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
19,"aparcament, carrer, cotxes, vianants, vehicles",20,2020-05-29 13:33:01.333333328,2020-05-29T13:33:01Z,2020-05-29,2020
0,"xarxa, bs, entitats, fundacio, projectes",84,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
1,"escola, educacio, escoles, joves, families",86,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
2,"esports, joc, esport, esportius, espai",32,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
3,"cures, salut, persones, atencio, sector",13,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
4,"bici, bicicletes, motos, bicicleta, carril",45,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
5,"dones, sexual, salut, persones, genere",47,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
6,"art, culturals, musica, cultura, sostenibilitat",40,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
7,"visio, alinear, catalunya, consciencies, poscovid19",6,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
8,"habitatge, avv, meridiana, lloguer, pisos",13,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
9,"bus, transport, autobusos, granvia, public",5,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
10,"gossos, animals, perros, parcs, espai",15,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
11,"gente, 24h, familias, vigilancia, presencial",4,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
12,"mirada, cures, dialegs, generada, participativa",4,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
13,"incluir, tratamiento, intervencion, ramon, area",2,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
14,"jardins, parcs, arbres, parc, espais",26,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
15,"sostenible, turisme, certificacions, hotelers, biosphere",5,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
17,"energetica, energia, energetic, sostenibilitat, eficiencia",63,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
18,"envasos, reutilitzables, reciclatge, ampolla, contenidors",15,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
19,"laterals, carrer, aparcament, plazas, vianants",5,2021-02-15 13:56:27.777777776,2021-02-15T13:56:27Z,2021-02-15,2021
0,"ajuntament, experiencia, reservar, borsa, remarquem",4,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
1,"joves, escola, escoles, activitats, educatiu",44,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
2,"esports, practicarlo, esport, practica, esportiva",34,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
3,"salut, mental, terapies, cures, professionals",6,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
4,"bici, bicicletes, carril, carrils, bicicleta",27,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
5,"dones, objectius, laboral, fitxa, adreca",26,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
6,"festival, apat, aliments, coats, murs",3,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
7,"moreno, miranda, placeta, riera, montserrat",2,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
8,"lloguer, habitatge, mobles, ajuda, requisits",4,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
9,"calzado, apit, ines, angel, bus",3,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
10,"gossos, gats, animals, palomar, petita",3,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
11,"tancament, 11, endarrereix, capvespre, sorroll",2,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
14,"mejorada, propuesta, brindo, armonizar, rechazada",2,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
15,"provoquen, veins, aristol, comunitats, legalitzats",2,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
17,"energetica, edifici, energetiques, consum, energia",5,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
18,"contenidors, productos, plastico, reciclatge, rebuig",5,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
19,"mensuals, aparcament, aparcaments, aqui, places",5,2021-11-04 14:19:54.222222224,2021-11-04T14:19:54Z,2021-11-04,2021
0,"gestio, civica, establiments, entitats, administracio",93,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
1,"escola, educacio, moviments, joves, centre",62,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
2,"espai, joc, infantil, esport, jocs",54,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
3,"paralisi, cerebral, persones, necessitats, salut",16,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
4,"bici, bicicleta, carrils, vianants, carril",27,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
5,"dones, sexual, sexuals, persones, diversitat",12,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
6,"masriera, teatre, arts, taller, cultural",54,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
7,"fundacio, associacio, barcelona, catalunya, sl",600,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
8,"apartments, sl, best, habitatge, lugaris",20,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
9,"transport, autocares, bus, parades, autobusos",14,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
10,"gossos, zona, animals, espai, xiringoi",38,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
11,"noche, parque, nits, soroll, molesties",10,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
12,"manners, traduccions, congressos, multicultural, mescladis",2,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
14,"vegetacio, jardins, horts, parc, verd",51,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
15,"travel, turisme, viatges, tourism, viajes",55,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
16,"escola, institut, collegi, ee, sant",325,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
17,"energetica, energetic, consum, energetiques, energia",22,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
18,"residus, contenidors, porta, recollida, zero",24,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
19,"carrer, vehicles, aparcar, cotxes, cassoles",16,2022-07-24 14:43:20.666666656,2022-07-24T14:43:20Z,2022-07-24,2022
0,"barri, comissio, seguiment, consell, barrio",56,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
1,"adscritos, escolapies, agradat, glorias, institutos",4,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
2,"pati, jocs, plantes, joc, pista",22,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
4,"bicicletes, analitza, verticals, estacionar, carrils",9,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
6,"cosa, peguera, culturals, activitats, associacio",4,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
7,"claror, collaboratiu, creat, document, membres",1,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
8,"habitatge, dotacional, lloguer, xifre, buits",12,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
9,"ambulatoris, 192, promover, bus, autobus",2,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
10,"gossos, perros, paso, coches, arago",4,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
11,"discoteca, enamorats, ubicada, manifest, posa",1,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
13,"nolloc, diagnostica, escultors, claperos, mel",1,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
14,"pati, vegetacio, jardins, fusta, terra",15,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
15,"sequia, farinera, comtal, turistics, existencia",2,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
16,"document, escola, tabor, 5e, claustre",2,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
17,"promover, vecinal, traves, energetica, edificis",2,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
18,"porta, instaurar, metode, selectiva, recollida",1,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
19,"carrer, rogent, semafor, pacificar, proposa",6,2023-04-12 15:06:47.111111104,2023-04-12T15:06:47Z,2023-04-12,2023
0,"barri, comissio, consell, seguiment, participacio",262,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
1,"educacio, escolar, escoles, consell, escola",166,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
2,"esport, club, esportives, esportiva, infantil",94,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
3,"persones, salut, diabetis, cura, serveis",33,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
4,"bici, bicicletes, carrils, bicicleta, carril",78,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
5,"sexual, dones, indemnitat, sexuals, atempten",46,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
6,"cultura, cultural, culturals, popular, musica",42,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
7,"fundacio, sang, donants, associacio, federacio",84,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
8,"habitatge, lloguer, habitatges, mes, desnonaments",19,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
9,"bus, transport, autobusos, autobus, frequencia",19,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
10,"gossos, animals, perros, gats, pipican",60,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
11,"sancions, soroll, guardia, conductes, urbana",131,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
12,"sessio, generada, participativa, roja, proposta",23,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
13,"dum, remodelats, spro, zones, pedagogia",2,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
14,"hort, plantes, jardins, moure, excedent",18,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
15,"turisme, turistes, turistics, turistica, ciutat",30,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
16,"escola, institut, collegi, roca, serrallonga",15,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
17,"energia, energetic, energetica, renovables, eficiencia",11,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
18,"contenidors, neteja, reciclatge, residus, basura",11,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
19,"aparcament, pacients, aparcaments, vehicles, aparcar",5,2023-12-30 15:30:13.555555552,2023-12-30T15:30:13Z,2023-12-30,2023
